Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,1,Travel_Rarely,1141,Research & Development,11,2,Medical,1,Female,61,1,2,Healthcare Representative,2,Married,4777.0,14382,5.0,No,15,1,0,15.0,2,1,1.0,0.0,0.0,0.0
51,1,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,Male,34,3,1,Research Scientist,3,Married,2461.0,10332,8.5,Yes,12,3,3,18.0,2,4,10.0,0.0,2.0,7.0
42,0,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,13525.0,14864,5.0,No,14,4,1,23.0,2,4,18.0,4.0,4.0,8.0
40,0,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457.0,13273,2.0,Yes,22,3,3,6.0,2,2,4.0,3.0,0.0,2.0
55,1,Travel_Rarely,725,Research & Development,2,3,Medical,4,Male,78,3,5,Manager,1,Married,17490.875,21199,5.0,Yes,13,4,1,24.0,2,3,5.0,2.0,1.0,4.0
36,0,Travel_Frequently,635,Research & Development,18,1,Medical,2,Female,73,3,1,Laboratory Technician,4,Single,2153.0,7703,1.0,No,13,1,0,8.0,2,3,8.0,1.0,1.0,7.0
32,0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,3,Female,39,3,3,Research Director,4,Single,11159.0,19373,3.0,No,15,4,0,10.0,6,3,7.0,7.0,7.0,7.0
25,0,Travel_Rarely,583,Sales,4,1,Marketing,3,Male,87,2,2,Sales Executive,1,Married,4256.0,18154,1.0,No,12,1,0,5.0,1,4,5.0,2.0,0.0,3.0
20,1,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973.0,13008,1.0,No,19,2,0,1.0,2,3,1.0,0.0,0.0,0.0
42,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992.0,15901,2.0,No,14,2,0,16.0,2,3,1.0,0.0,0.0,0.0
31,0,Travel_Rarely,616,Research & Development,12,3,Medical,4,Female,41,3,2,Healthcare Representative,4,Married,5855.0,17369,0.0,Yes,11,3,2,10.0,2,1,9.0,7.0,7.5,5.0
38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7.0,Yes,12,4,3,17.0,3,3,13.0,11.0,1.0,9.0
39,0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,4,Female,80,2,2,Healthcare Representative,3,Single,4553.0,20978,1.0,No,11,1,0,20.0,4,3,18.0,7.0,7.5,10.0
54,0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,17490.875,8509,4.0,No,11,3,1,24.0,4,2,4.0,2.0,1.0,2.0
49,0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,Male,85,2,5,Manager,3,Married,17490.875,12124,2.0,No,13,3,1,23.0,2,4,1.0,0.0,0.0,0.0
24,0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725.0,21630,1.0,Yes,11,2,2,6.0,3,3,6.0,5.0,1.0,4.0
40,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237.0,20364,7.0,No,15,3,0,22.0,3,3,18.0,6.0,5.0,13.0
41,0,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230.0,13430,7.0,No,14,4,0,16.0,3,3,14.0,3.0,1.0,10.0
32,0,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228.0,24624,1.0,Yes,11,4,0,13.0,2,3,13.0,12.0,7.5,9.0
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2.0,Yes,16,1,1,6.0,2,2,2.0,0.0,2.0,0.0
39,0,Travel_Rarely,412,Research & Development,13,4,Medical,3,Female,94,2,4,Manager,2,Divorced,17123.0,17334,6.0,Yes,13,4,2,21.0,4,3,18.0,9.0,7.5,2.0
59,0,Travel_Rarely,818,Human Resources,6,2,Medical,2,Male,52,3,1,Human Resources,3,Married,2267.0,25657,8.0,No,17,4,0,7.0,2,2,2.0,2.0,2.0,2.0
36,0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,3,Male,68,3,2,Healthcare Representative,4,Married,6586.0,4821,0.0,Yes,17,1,1,17.0,2,2,16.0,8.0,4.0,11.0
30,0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491.0,11309,1.0,No,13,1,3,10.0,4,2,10.0,7.0,7.5,9.0
38,0,Travel_Rarely,433,Human Resources,1,3,Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844.0,6004,1.0,No,13,4,1,7.0,2,4,7.0,6.0,5.0,0.0
28,1,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,Male,92,3,1,Sales Representative,3,Married,2909.0,15747,3.0,No,15,4,1,5.0,3,4,3.0,2.0,1.0,2.0
31,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695.0,7747,0.0,Yes,18,2,1,3.0,2,1,2.0,2.0,2.0,2.0
36,0,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653.0,15276,4.0,No,15,2,0,7.0,6,3,1.0,0.0,0.0,0.0
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1.0,Yes,22,2,1,9.0,3,3,9.0,8.0,7.0,8.0
28,0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1.0,No,15,2,0,5.0,3,4,5.0,4.0,0.0,4.0
31,1,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172.0,20739,4.0,Yes,18,2,0,12.0,3,2,7.0,7.0,7.0,7.0
50,0,Travel_Rarely,316,Sales,8,4,Marketing,4,Male,54,3,1,Sales Representative,2,Married,3875.0,9983,7.0,No,15,4,1,4.0,2,3,2.0,2.0,2.0,2.0
39,0,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613.0,10942,0.0,No,17,1,3,19.0,5,2,18.0,10.0,3.0,7.0
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0.0,No,13,3,1,6.0,5,3,5.0,4.0,0.0,3.0
